Date,close_real,real,proba_sobe,pred,acerto
2023-08-23,4396.43994140625,1,0.3713,0,0
2023-08-24,4375.5498046875,1,0.6829,1,1
2023-08-25,4356.2900390625,0,0.7032,1,0
2023-08-28,4414.97998046875,0,0.6634,1,0
2023-08-29,4431.68017578125,0,0.5553,1,0
2023-08-30,4493.58984375,0,0.6301,1,0
2023-08-31,4507.39013671875,1,0.3189,0,0
2023-09-01,4501.35009765625,0,0.7182,1,0
2023-09-05,4496.009765625,0,0.7643,1,0
2023-09-06,4442.3798828125,0,0.4876,0,1
2023-09-07,4430.4599609375,0,0.307,0,1
2023-09-08,4448.3798828125,1,0.6526,1,1
2023-09-11,4467.89013671875,0,0.7481,1,0
2023-09-12,4456.830078125,0,0.3572,0,1
2023-09-13,4453.52001953125,0,0.3491,0,1
2023-09-14,4478.68994140625,0,0.3513,0,1
2023-09-15,4447.2099609375,1,0.6895,1,1
2023-09-18,4442.10986328125,1,0.7,1,1
2023-09-19,4416.60986328125,1,0.4732,0,0
2023-09-20,4401.3798828125,0,0.7568,1,0
2023-09-21,4329.169921875,0,0.2224,0,1
2023-09-22,4316.490234375,1,0.6977,1,1
2023-09-25,4302.7001953125,1,0.7049,1,1
2023-09-26,4265.97998046875,1,0.7483,1,1
2023-09-27,4238.6298828125,1,0.6959,1,1
2023-09-28,4264.3798828125,0,0.4932,0,1
2023-09-29,4274.85986328125,0,0.4695,0,1
2023-10-02,4260.2099609375,0,0.558,1,0
2023-10-03,4216.4501953125,0,0.5955,1,0
2023-10-04,4220.47998046875,1,0.7051,1,1
2023-10-05,4225.91015625,1,0.5618,1,1
2023-10-06,4219.5498046875,0,0.7296,1,0
2023-10-09,4283.7900390625,0,0.4398,0,1
2023-10-10,4339.64013671875,1,0.6689,1,1
2023-10-11,4345.33984375,0,0.6682,1,0
2023-10-12,4325.43017578125,0,0.3971,0,1
2023-10-13,4311.97021484375,0,0.4465,0,1
2023-10-16,4342.3701171875,0,0.6992,1,0
2023-10-17,4337.5400390625,0,0.2227,0,1
2023-10-18,4303.83984375,0,0.4645,0,1
2023-10-19,4269.68994140625,0,0.3547,0,1
2023-10-20,4223.02978515625,0,0.7724,1,0
2023-10-23,4189.22021484375,0,0.4326,0,1
2023-10-24,4219.43017578125,1,0.6873,1,1
2023-10-25,4181.419921875,1,0.6987,1,1
2023-10-26,4127.89990234375,0,0.3712,0,1
2023-10-27,4103.77978515625,0,0.7129,1,0
2023-10-30,4132.93994140625,1,0.3915,0,0
2023-10-31,4153.1201171875,1,0.7373,1,1
2023-11-01,4197.740234375,0,0.6616,1,0
2023-11-02,4268.259765625,1,0.6278,1,1
2023-11-03,4334.22998046875,1,0.7632,1,1
2023-11-06,4347.52978515625,1,0.5775,1,1
2023-11-07,4355.41015625,0,0.7422,1,0
2023-11-08,4359.759765625,0,0.3876,0,1
2023-11-09,4343.93994140625,1,0.3048,0,0
2023-11-10,4353.33984375,0,0.6473,1,0
2023-11-13,4393.81982421875,0,0.5623,1,0
2023-11-14,4458.97021484375,0,0.297,0,1
2023-11-15,4495.31005859375,0,0.284,0,1
2023-11-16,4487.830078125,0,0.388,0,1
2023-11-17,4499.66015625,1,0.4254,0,0
2023-11-20,4510.35986328125,0,0.655,1,0
2023-11-21,4525.509765625,0,0.3529,0,1
2023-11-22,4545.0498046875,0,0.4271,0,1
2023-11-24,4552.7998046875,1,0.4571,0,0
2023-11-27,4546.31982421875,1,0.676,1,1
2023-11-28,4540.509765625,1,0.7575,1,1
2023-11-29,4547.14990234375,1,0.7828,1,1
2023-11-30,4537.240234375,1,0.8353,1,1
2023-12-01,4554.7099609375,1,0.6534,1,1
2023-12-04,4546.72021484375,1,0.5596,1,1
2023-12-05,4551.68017578125,1,0.5687,1,1
2023-12-06,4546.5,0,0.5851,1,0
2023-12-07,4565.22021484375,1,0.3454,0,0
2023-12-08,4574.06005859375,1,0.7581,1,1
2023-12-11,4593.39013671875,1,0.584,1,1
2023-12-12,4608.08984375,1,0.6644,1,1
2023-12-13,4643.22998046875,0,0.4109,0,1
2023-12-14,4694.33984375,1,0.6116,1,1
2023-12-15,4704.68994140625,1,0.5981,1,1
2023-12-18,4725.580078125,1,0.5615,1,1
2023-12-19,4743.72021484375,1,0.6034,1,1
2023-12-20,4697.81982421875,1,0.4836,0,0
2023-12-21,4708.35009765625,0,0.4826,0,1
2023-12-22,4736.77001953125,0,0.5661,1,0
2023-12-26,4758.4501953125,1,0.5848,1,1
2023-12-27,4768.89990234375,0,0.4816,0,1
2023-12-28,4780.97998046875,1,0.8038,1,1
2023-12-29,4751.990234375,0,0.7259,1,0
2024-01-02,4722.669921875,1,0.7091,1,1
2024-01-03,4699.7099609375,0,0.6214,1,0
2024-01-04,4687.52978515625,1,0.4492,0,0
2024-01-05,4682.10986328125,1,0.6519,1,1
2024-01-08,4699.81982421875,1,0.6407,1,1
2024-01-09,4730.35009765625,1,0.6726,1,1
2024-01-10,4756.2001953125,1,0.6261,1,1
2024-01-11,4739.580078125,1,0.6806,1,1
2024-01-12,4768.97998046875,1,0.5931,1,1
2024-01-16,4747.1201171875,1,0.702,1,1
2024-01-17,4714.81982421875,1,0.4829,0,0
2024-01-18,4740.56982421875,0,0.5212,1,0
2024-01-19,4785.8701171875,1,0.4048,0,0
2024-01-22,4844.0498046875,1,0.6023,1,1
2024-01-23,4844.3701171875,1,0.4805,0,0
2024-01-24,4865.93994140625,1,0.4941,0,0
2024-01-25,4869.33984375,1,0.5213,1,1
2024-01-26,4881.47021484375,0,0.4897,0,1
2024-01-29,4887.39990234375,0,0.5183,1,0
2024-01-30,4916.27001953125,0,0.6902,1,0
2024-01-31,4845.14990234375,0,0.6735,1,0
2024-02-01,4853.52001953125,0,0.5602,1,0
2024-02-02,4907.990234375,1,0.6697,1,1
2024-02-05,4918.08984375,1,0.7826,1,1
2024-02-06,4934.8798828125,1,0.6848,1,1
2024-02-07,4969.0498046875,0,0.6335,1,0
2024-02-08,4987.08984375,1,0.5665,1,1
2024-02-09,5000.33984375,0,0.5298,1,0
2024-02-12,5016.830078125,0,0.6165,1,0
2024-02-13,4920.31005859375,1,0.7112,1,1
2024-02-14,4956.4501953125,1,0.7062,1,1
2024-02-15,4999.43994140625,1,0.6877,1,1
2024-02-16,4999.52001953125,1,0.5111,1,1
2024-02-20,4955.02001953125,1,0.5604,1,1
2024-02-21,4946.0,1,0.431,0,0
2024-02-22,5038.830078125,1,0.6006,1,1
2024-02-23,5081.4599609375,1,0.4961,0,0
2024-02-26,5068.91015625,1,0.6267,1,1
2024-02-27,5057.2900390625,0,0.6579,1,0
2024-02-28,5058.35009765625,1,0.4289,0,0
2024-02-29,5061.89013671875,1,0.7258,1,1
2024-03-01,5094.16015625,1,0.5605,1,1
2024-03-04,5127.18017578125,1,0.5696,1,1
2024-03-05,5056.81982421875,1,0.7183,1,1
2024-03-06,5092.22021484375,1,0.6985,1,1
2024-03-07,5128.2099609375,1,0.5847,1,1
2024-03-08,5117.5,1,0.5614,1,1
2024-03-11,5091.14013671875,0,0.4111,0,1
2024-03-12,5114.47998046875,1,0.6672,1,1
2024-03-13,5151.8798828125,1,0.7275,1,1
2024-03-14,5123.2998046875,1,0.6833,1,1
2024-03-15,5104.35009765625,0,0.4833,0,1
2024-03-18,5145.47021484375,0,0.6702,1,0
2024-03-19,5131.58984375,1,0.774,1,1
2024-03-20,5171.5498046875,1,0.6304,1,1
2024-03-21,5240.66015625,0,0.4391,0,1
2024-03-22,5229.8701171875,0,0.4782,0,1
2024-03-25,5216.08984375,1,0.708,1,1
2024-03-26,5203.419921875,1,0.6622,1,1
2024-03-27,5213.919921875,1,0.7107,1,1
2024-03-28,5245.81982421875,1,0.7132,1,1
2024-04-01,5229.2001953125,0,0.528,1,0
2024-04-02,5184.0498046875,1,0.4942,0,0
2024-04-03,5194.3701171875,1,0.567,1,1
2024-04-04,5146.06005859375,0,0.5898,1,0
2024-04-05,5157.2099609375,0,0.307,0,1
2024-04-08,5197.35009765625,1,0.7118,1,1
2024-04-09,5160.77978515625,1,0.7562,1,1
2024-04-10,5138.7001953125,0,0.5993,1,0
2024-04-11,5138.77001953125,0,0.5454,1,0
2024-04-12,5107.93994140625,1,0.7062,1,1
2024-04-15,5052.47021484375,0,0.4095,0,1
2024-04-16,5039.830078125,1,0.6385,1,1
2024-04-17,5007.25,1,0.6745,1,1
2024-04-18,5001.89013671875,0,0.4519,0,1
2024-04-19,4953.56005859375,0,0.4735,0,1
2024-04-22,4969.39990234375,0,0.5284,1,0
2024-04-23,5027.9599609375,1,0.4424,0,0
2024-04-24,5047.02001953125,1,0.7068,1,1
2024-04-25,4990.580078125,0,0.6319,1,0
2024-04-26,5073.14013671875,0,0.5185,1,0
2024-04-29,5088.64990234375,1,0.7435,1,1
2024-04-30,5035.31005859375,0,0.6308,1,0
2024-05-01,5013.4501953125,1,0.2062,0,0
2024-05-02,5011.0498046875,1,0.5999,1,1
2024-05-03,5101.22021484375,0,0.6446,1,0
2024-05-06,5142.419921875,0,0.6885,1,0
2024-05-07,5178.9599609375,1,0.695,1,1
2024-05-08,5165.85986328125,0,0.684,1,0
2024-05-09,5180.41015625,0,0.3571,0,1
2024-05-10,5209.68017578125,0,0.1921,0,1
2024-05-13,5211.16015625,0,0.5611,1,0
2024-05-14,5217.97998046875,0,0.3708,0,1
2024-05-15,5263.259765625,0,0.4238,0,1
2024-05-16,5296.18994140625,1,0.5393,1,1
2024-05-17,5283.58984375,1,0.594,1,1
2024-05-20,5302.39990234375,1,0.7713,1,1
2024-05-21,5297.8701171875,0,0.6605,1,0
2024-05-22,5286.009765625,1,0.7497,1,1
2024-05-23,5256.93017578125,1,0.7246,1,1
2024-05-24,5278.39013671875,0,0.6284,1,0
2024-05-28,5280.89013671875,0,0.2889,0,1
2024-05-29,5262.7001953125,0,0.3103,0,1
2024-05-30,5222.10009765625,1,0.7423,1,1
2024-05-31,5191.68017578125,1,0.6805,1,1
2024-06-03,5234.31982421875,1,0.7176,1,1
2024-06-04,5257.6298828125,0,0.6231,1,0
2024-06-05,5297.64013671875,1,0.6812,1,1
2024-06-06,5335.35986328125,1,0.709,1,1
